# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
writeAction.wait.ms,1717348484537000000,1717348493918000000,0
writeAction.count,1717348484537000000,1717348493918000000,0
writeAction.median.wait.ms,1717348484537000000,1717348493918000000,0
cacheStateStorage.set.duration,1717348484537000000,1717348493918000000,6
cacheStateStorage.get.counter,1717348484537000000,1717348493918000000,1
cacheStateStorage.get.duration,1717348484537000000,1717348493918000000,0
cacheStateStorage.set.counter,1717348484537000000,1717348493918000000,1
FilePageCache.uncachedFileAccess,1717348484537000000,1717348493918000000,0
FilePageCacheLockFree.totalBytesRead,1717348484537000000,1717348493918000000,0
FilePageCacheLockFree.heapBytesInUse,1717348484537000000,1717348493918000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1717348484537000000,1717348493918000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1717348484537000000,1717348493918000000,41959424
FilePageCache.maxCacheSizeInBytes,1717348484537000000,1717348493918000000,265306112
FilePageCacheLockFree.housekeeperTurnsSkipped,1717348484537000000,1717348493918000000,0
FilePageCacheLockFree.totalBytesWritten,1717348484537000000,1717348493918000000,0
FilePageCacheLockFree.totalPagesHandedOver,1717348484537000000,1717348493918000000,0
FilePageCache.capacityInBytes,1717348484537000000,1717348493918000000,503316478
FilePageCacheLockFree.totalPagesWriteMs,1717348484537000000,1717348493918000000,0
FilePageCache.totalPageDisposalsUs,1717348484537000000,1717348493918000000,0
FilePageCacheLockFree.totalPagesReclaimed,1717348484537000000,1717348493918000000,0
StorageLockContext.competingThreads.90P,1717348484537000000,1717348493918000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1717348484537000000,1717348493918000000,0
FilePageCacheLockFree.totalPagesReadMs,1717348484537000000,1717348493918000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1717348484537000000,1717348493918000000,3617971
FilePageCacheLockFree.totalPageAllocationsWaited,1717348484537000000,1717348493918000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1717348484537000000,1717348493918000000,44056576
MappedFileStorage.storages,1717348484537000000,1717348493918000000,0
MappedFileStorage.totalBytesMapped,1717348484537000000,1717348493918000000,0
FilePageCacheLockFree.totalPagesRequested,1717348484537000000,1717348493918000000,0
FilePageCache.disposedBuffers,1717348484537000000,1717348493918000000,253
FileChannelInterruptsRetryer.totalRetriedAttempts,1717348484537000000,1717348493918000000,0
FilePageCacheLockFree.totalPagesAllocated,1717348484537000000,1717348493918000000,0
FilePageCache.maxRegisteredFiles,1717348484537000000,1717348493918000000,704
